case_number,id,date,district,beat,injury_type,cleared,date_clear
JD222763,25067,2020-05-02 23:05:00,22,2223,SHOT,Y,2021-05-08
JD222836,25068,2020-05-03 01:10:00,9,923,SHOT,Y,2020-06-05
JD223625,25074,2020-05-04 01:05:00,15,1513,SHOT,Y,2020-05-18
JD224389,25071,2020-05-04 21:29:00,6,613,SHOT,N,
JD225128,25072,2020-05-05 18:52:00,9,924,SHOT,Y,2020-05-08
JD225569,25075,2020-05-06 11:27:00,2,231,SHOT,Y,2021-09-28
JD225846,25076,2020-05-06 15:59:00,24,2422,SHOT,Y,2021-06-02
JD226120,25077,2020-05-06 23:48:00,8,831,SHOT,N,
JD226367,25078,2020-05-07 10:38:00,8,834,SHOT,Y,2020-05-08
JD226664,25079,2020-05-07 16:27:00,11,1131,SHOT,N,
JD226853,25080,2020-05-07 20:25:00,6,624,SHOT,N,
JD226873,25081,2020-05-07 21:10:00,22,2234,SHOT,N,
JD226911,25082,2020-05-07 22:22:00,1,124,SHOT,N,
JD227712,25083,2020-05-08 22:42:00,11,1121,SHOT,Y,2020-05-16
JD228181,25084,2020-05-09 15:00:00,5,523,SHOT,N,
JD228668,25085,2020-05-10 04:28:00,11,1123,SHOT,N,
JD229036,25086,2020-05-10 16:22:00,25,2532,SHOT,Y,2020-05-21
JD229977,25087,2020-05-11 20:11:00,9,913,SHOT,N,
JD230569,25088,2020-05-12 15:34:00,8,815,SHOT,N,
JD230731,25089,2020-05-12 18:40:00,6,634,SHOT,N,
JD231270,25090,2020-05-13 12:30:00,10,1012,STABBED,Y,2020-10-30
JD231606,25091,2020-05-13 17:45:00,6,622,SHOT,N,
JD233489,26261,2020-05-15 20:13:00,7,726,SHOT,N,
JD233529,25092,2020-05-15 21:05:00,9,935,SHOT,Y,2020-05-17
JD233540,25093,2020-05-15 21:18:00,5,513,SHOT,Y,2020-11-28
JD233827,25095,2020-05-16 02:03:00,5,531,SHOT,N,
JD233777,25094,2020-05-16 04:27:00,11,1113,SHOT,N,
JD234177,25096,2020-05-16 15:04:00,6,632,SHOT,Y,2020-06-23
JD234384,25098,2020-05-16 19:04:00,15,1533,SHOT,Y,2020-08-20
JD237809,25099,2020-05-20 17:00:00,15,1524,SHOT,Y,2020-06-20
JD239041,25101,2020-05-22 00:50:00,15,1523,SHOT,N,
JD239061,25102,2020-05-22 02:08:00,6,623,SHOT,N,
JD239937,25103,2020-05-22 23:26:00,7,715,SHOT,N,
JD240104,25104,2020-05-23 06:05:00,7,713,SHOT,Y,2020-12-04
JD240706,25106,2020-05-23 19:05:00,22,2213,SHOT,N,
JD240685,25108,2020-05-23 20:23:00,11,1132,SHOT,N,
JD241035,25105,2020-05-23 22:04:00,3,311,SHOT,N,
JD240881,25107,2020-05-23 23:07:00,14,1422,SHOT,Y,2020-09-18
JD241071,25109,2020-05-24 03:52:00,6,624,SHOT,N,
JD241150,25110,2020-05-24 07:44:00,11,1121,SHOT,Y,2021-01-15
JD241157,26716,2020-05-24 07:57:00,5,512,SHOT,N,
JD241492,25111,2020-05-24 16:37:00,5,512,SHOT,N,
JD242716,25112,2020-05-25 20:29:00,11,1124,SHOT,N,
JD243541,25114,2020-05-26 15:34:00,11,1122,SHOT,N,
JD243541,25113,2020-05-26 15:34:00,11,1122,SHOT,N,
JD243805,25115,2020-05-26 20:20:00,4,414,SHOT,N,
JD243890,25116,2020-05-26 21:50:00,25,2534,SHOT,Y,2020-06-15
JD243985,25118,2020-05-27 00:10:00,8,814,SHOT,N,
JD244007,25117,2020-05-27 01:25:00,3,313,SHOT,N,
JD245597,25120,2020-05-28 15:41:00,17,1732,STABBED,Y,2020-05-29
JD245890,25121,2020-05-28 20:15:00,4,423,SHOT,N,
JD245890,25122,2020-05-28 20:15:00,4,423,SHOT,N,
JD246069,25123,2020-05-29 00:16:00,6,634,OTHER,Y,2020-05-30
JD246475,25124,2020-05-29 12:47:00,8,814,SHOT,N,
JD246692,25125,2020-05-29 16:20:00,2,225,SHOT,Y,2020-06-19
JD246877,25126,2020-05-29 19:08:00,7,734,SHOT,N,
JD247157,25127,2020-05-30 02:14:00,3,311,STABBED,Y,2020-05-31
JD247174,25129,2020-05-30 02:51:00,4,411,SHOT,N,
JD247183,25128,2020-05-30 02:54:00,5,531,SHOT,N,
JD247334,25132,2020-05-30 08:29:00,15,1524,SHOT,N,
JD247826,25133,2020-05-30 19:19:00,8,823,SHOT,N,
JD248450,25146,2020-05-30 21:50:00,18,1834,SHOT,N,
JD247925,25130,2020-05-30 21:51:00,25,2512,SHOT,Y,2020-05-31
JD247969,25131,2020-05-30 23:00:00,18,1831,SHOT,N,
JD248413,25136,2020-05-30 23:40:00,12,1235,SHOT,N,
JD248008,25134,2020-05-31 00:37:00,7,725,SHOT,N,
JD248259,25135,2020-05-31 05:25:00,25,2531,SHOT,Y,2020-07-13
JD248484,25137,2020-05-31 06:00:00,8,831,SHOT,Y,2020-06-15
JD248616,25142,2020-05-31 12:31:00,6,613,SHOT,Y,2020-11-19
JD248653,25152,2020-05-31 13:48:00,11,1122,SHOT,N,
JD249073,25151,2020-05-31 14:20:00,11,1121,SHOT,N,
JD248956,25143,2020-05-31 15:20:00,9,924,SHOT,N,
JD249130,25144,2020-05-31 15:20:00,6,624,SHOT,N,
JD248746,25139,2020-05-31 15:22:00,8,834,SHOT,N,
JD248739,25138,2020-05-31 15:41:00,4,413,SHOT,N,
JD248739,25140,2020-05-31 15:41:00,4,413,SHOT,N,
JD248810,25145,2020-05-31 16:00:00,7,712,SHOT,Y,2020-07-09
JD248815,25155,2020-05-31 16:46:00,15,1533,SHOT,N,
JD248896,25141,2020-05-31 17:36:00,7,731,SHOT,N,
JD248906,25147,2020-05-31 18:43:00,9,924,SHOT,N,
JD248954,25148,2020-05-31 20:09:00,4,413,SHOT,N,
JD248976,25149,2020-05-31 20:30:00,15,1533,SHOT,Y,2020-07-09
JD249088,25150,2020-05-31 22:34:00,11,1132,SHOT,Y,2020-07-02
JD249292,25162,2020-06-01 01:51:00,7,722,SHOT,Y,2020-08-30
JD249333,25153,2020-06-01 03:35:00,12,1211,SHOT,N,
JD249935,25154,2020-06-01 14:35:00,7,735,SHOT,N,
JD250234,25156,2020-06-01 19:22:00,9,923,BLUNT FORCE INJURY,N,
JD250291,25157,2020-06-01 20:39:00,4,414,STABBED,Y,2020-06-03
JD250570,25161,2020-06-02 02:23:00,10,1031,SHOT,N,
JD251109,25158,2020-06-02 13:05:00,3,331,SHOT,N,
JD255365,25741,2020-06-02 17:30:00,15,1513,BLUNT FORCE INJURY,Y,2021-11-29
JD251717,25171,2020-06-02 20:40:00,12,1234,SHOT,N,
JD252635,25159,2020-06-03 16:15:00,7,723,SHOT,N,
JD252862,25160,2020-06-03 20:32:00,6,621,SHOT,N,
JD253069,25163,2020-06-04 00:50:00,22,2233,SHOT,N,
JD253114,25164,2020-06-04 02:59:00,11,1112,SHOT,N,
JD254045,25165,2020-06-04 21:38:00,4,424,SHOT,Y,2020-10-08
JD255377,25430,2020-06-06 05:37:00,4,423,SHOT,Y,2021-12-03
JD255804,25166,2020-06-06 14:41:00,5,511,SHOT,N,
JD256233,25170,2020-06-07 00:26:00,10,1021,SHOT,N,
JD256296,25169,2020-06-07 02:25:00,12,1223,SHOT,N,
JD256319,25168,2020-06-07 03:25:00,5,523,SHOT,N,
JD256978,25167,2020-06-07 20:02:00,7,723,SHOT,N,
JD257682,25172,2020-06-08 14:18:00,4,412,SHOT,N,
JD258149,25173,2020-06-08 21:48:00,5,533,SHOT,Y,2021-04-02
JD258941,25174,2020-06-09 16:16:00,3,324,SHOT,N,
JD259202,25175,2020-06-09 20:55:00,8,825,SHOT,N,
JD259358,25176,2020-06-10 02:10:00,18,1821,SHOT,Y,2020-06-11
JD260325,25178,2020-06-10 22:01:00,10,1024,SHOT,N,
JD260738,25179,2020-06-11 13:47:00,7,733,SHOT,N,
JD261141,25180,2020-06-11 18:38:00,10,1021,SHOT,N,
JD262632,25182,2020-06-13 03:48:00,25,2534,SHOT,Y,2020-06-14
JD264011,25190,2020-06-14 15:49:00,15,1531,STABBED,Y,2020-08-11
JD264071,25183,2020-06-14 16:54:00,15,1523,SHOT,Y,2020-12-28
JD264472,26062,2020-06-15 04:03:00,8,831,SHOT,N,
JD264558,25185,2020-06-15 08:10:00,4,423,SHOT,Y,2020-07-01
JD264558,25184,2020-06-15 08:10:00,4,423,SHOT,Y,2020-07-01
JD264907,25186,2020-06-15 13:57:00,4,413,SHOT,N,
JD265132,25188,2020-06-15 17:39:00,11,1125,SHOT,N,
JD265196,25187,2020-06-15 18:38:00,5,522,SHOT,N,
JD265529,25189,2020-06-16 02:57:00,24,2422,SHOT,N,
JD266423,25191,2020-06-16 21:25:00,11,1131,SHOT,N,
JD266563,25192,2020-06-17 02:13:00,8,825,SHOT,N,
JD267578,25193,2020-06-18 00:03:00,6,632,SHOT,N,
JD268199,25194,2020-06-18 15:43:00,3,312,SHOT,Y,2020-06-19
JD268307,25195,2020-06-18 17:21:00,11,1132,SHOT,N,
JD268521,25196,2020-06-18 20:35:00,6,621,SHOT,Y,2020-11-20
JD268650,25197,2020-06-19 00:01:00,3,312,SHOT,N,
JD268744,25198,2020-06-19 03:26:00,6,624,SHOT,Y,2020-06-20
JD269005,25199,2020-06-19 11:01:00,6,631,SHOT,Y,2021-04-24
JD269688,25200,2020-06-19 21:51:00,15,1533,SHOT,Y,2020-11-02
JD269712,25201,2020-06-19 22:24:00,11,1132,SHOT,N,
JD269919,25247,2020-06-20 03:30:00,10,1022,SHOT,N,
JD269991,25221,2020-06-20 06:18:00,10,1032,SHOT,N,
JD270626,25203,2020-06-20 17:10:00,4,414,SHOT,Y,2020-06-25
JD270626,25202,2020-06-20 17:10:00,4,414,SHOT,Y,2020-06-25
JD270696,25204,2020-06-20 18:24:00,15,1511,SHOT,N,
JD270705,25207,2020-06-20 19:00:00,14,1434,SHOT,Y,2020-06-25
JD270740,25205,2020-06-20 19:46:00,15,1512,SHOT,Y,2020-12-04
JD270774,25206,2020-06-20 20:35:00,15,1531,SHOT,N,
JD270982,25210,2020-06-21 00:04:00,14,1423,SHOT,N,
JD271562,25211,2020-06-21 17:17:00,8,824,SHOT,N,
JD271657,25208,2020-06-21 19:22:00,24,2413,SHOT,Y,2020-07-17
JD271655,25209,2020-06-21 19:27:00,11,1112,SHOT,Y,2020-12-03
JD271865,25215,2020-06-22 00:18:00,11,1111,SHOT,N,
JD272037,25214,2020-06-22 04:18:00,11,1125,SHOT,N,
JD272033,25217,2020-06-22 04:23:00,11,1133,SHOT,Y,2020-12-29
JD272114,25216,2020-06-22 06:45:00,10,1023,SHOT,N,
JD272406,25212,2020-06-22 12:46:00,6,614,SHOT,Y,2020-11-05
JD272406,25213,2020-06-22 12:46:00,6,614,SHOT,Y,2020-11-05
JD272406,25500,2020-06-22 13:42:00,6,614,SHOT,Y,2020-11-05
JD273788,25218,2020-06-23 16:41:00,2,231,SHOT,Y,2020-07-28
JD274302,25219,2020-06-24 03:00:00,8,824,SHOT,Y,2020-12-07
JD274334,25220,2020-06-24 05:00:00,6,623,SHOT,N,
JD275420,25543,2020-06-25 02:43:00,7,733,BLUNT FORCE INJURY,Y,2020-11-24
JD275718,25222,2020-06-25 11:24:00,11,1121,SHOT,Y,2020-08-14
JD276207,25223,2020-06-25 19:16:00,6,613,SHOT,N,
JD277294,25224,2020-06-26 17:42:00,15,1532,SHOT,N,
JD277737,25225,2020-06-27 06:38:00,7,712,SHOT,N,
JD277859,25231,2020-06-27 10:25:00,10,1011,SHOT,N,
JD277897,25232,2020-06-27 11:25:00,11,1112,SHOT,N,
JD278060,25226,2020-06-27 14:10:00,7,712,SHOT,N,
JD278156,25227,2020-06-27 15:40:00,8,821,SHOT,N,
JD278154,25229,2020-06-27 16:37:00,4,421,SHOT,Y,2021-12-14
JD278448,25233,2020-06-27 21:39:00,14,1413,SHOT,Y,2020-08-05
JD278523,25255,2020-06-27 23:33:00,2,211,SHOT,N,
JD278523,25234,2020-06-27 23:33:00,2,211,SHOT,N,
JD278682,25236,2020-06-28 03:54:00,25,2531,SHOT,N,
JD278793,25238,2020-06-28 06:59:00,24,2423,SHOT,Y,2021-12-28
JD278792,25235,2020-06-28 07:18:00,4,423,SHOT,Y,2020-12-09
JD278820,25239,2020-06-28 08:33:00,10,1033,SHOT,N,
JD279158,25275,2020-06-28 15:38:00,7,723,SHOT,N,
JD279430,25237,2020-06-28 20:37:00,5,532,SHOT,N,
JD279573,25240,2020-06-28 22:36:00,11,1113,SHOT,N,
JD279597,25241,2020-06-29 00:30:00,2,231,STABBED,Y,2020-12-14
JD279607,25242,2020-06-29 00:37:00,11,1112,SHOT,N,
JD279637,25243,2020-06-29 02:22:00,9,922,SHOT,Y,2020-12-02
JD279940,25244,2020-06-29 11:04:00,16,1611,SHOT,Y,2020-08-26
JD281257,25248,2020-06-30 15:05:00,10,1031,SHOT,N,
JD281257,25268,2020-06-30 15:05:00,10,1031,SHOT,N,
JD281693,25246,2020-06-30 22:09:00,5,533,SHOT,Y,2020-11-21
JD281735,25314,2020-06-30 23:07:00,3,324,SHOT,N,
JD282810,25249,2020-07-01 22:40:00,4,434,SHOT,Y,2020-12-31
JD283381,25250,2020-07-02 13:49:00,9,915,STABBED,Y,2020-07-03
JD283493,25251,2020-07-02 15:59:00,6,632,SHOT,N,
JD283915,25252,2020-07-02 21:32:00,10,1031,SHOT,Y,2020-07-06
JD283992,25253,2020-07-02 23:15:00,11,1111,SHOT,N,
JD284525,25254,2020-07-03 13:29:00,7,713,SHOT,N,
JD285240,25256,2020-07-04 01:55:00,7,723,SHOT,Y,2020-09-05
JD285337,25258,2020-07-04 05:21:00,2,211,SHOT,N,
JD285368,25257,2020-07-04 07:16:00,7,726,SHOT,N,
JD285927,25265,2020-07-04 19:03:00,15,1523,SHOT,Y,2020-07-06
JD286080,25262,2020-07-04 21:43:00,4,421,SHOT,N,
JD286109,25308,2020-07-04 22:25:00,10,1031,SHOT,N,
JD286161,25264,2020-07-04 23:09:00,4,423,SHOT,N,
JD286197,25261,2020-07-04 23:35:00,7,712,SHOT,N,
JD286197,25263,2020-07-04 23:35:00,7,712,SHOT,N,
JD286197,25259,2020-07-04 23:35:00,7,712,SHOT,N,
JD286197,25260,2020-07-04 23:35:00,7,712,SHOT,N,
JD286253,25266,2020-07-05 00:30:00,5,533,SHOT,Y,2020-08-12
JD286307,25269,2020-07-05 01:14:00,10,1014,SHOT,N,
JD286365,25267,2020-07-05 02:13:00,6,622,SHOT,N,
JD286854,25270,2020-07-05 12:45:00,18,1822,SHOT,N,
JD287599,25271,2020-07-06 02:25:00,11,1133,SHOT,N,
JD288470,25272,2020-07-06 17:57:00,11,1131,SHOT,N,
JD288522,25273,2020-07-06 18:47:00,4,421,SHOT,Y,2020-09-29
JD288756,25274,2020-07-06 23:15:00,10,1011,SHOT,N,
JD297679,25276,2020-07-07 04:51:00,5,531,SHOT,N,
JD288916,25277,2020-07-07 05:22:00,17,1712,ASSAULT,Y,2020-07-08
JD289040,25278,2020-07-07 09:28:00,5,533,SHOT,N,
JD289163,25280,2020-07-07 11:12:00,6,612,STABBED,Y,2020-07-08
JD289242,25279,2020-07-07 12:17:00,2,213,ASSAULT,Y,2020-07-08
JD289973,25315,2020-07-08 03:00:00,8,821,SHOT,Y,2021-11-01
JD289973,25282,2020-07-08 03:00:00,8,821,SHOT,Y,2021-11-01
JD290772,25284,2020-07-08 18:16:00,11,1131,SHOT,N,
JD291267,25285,2020-07-09 09:00:00,1,114,STABBED,Y,2020-09-29
JD291374,25286,2020-07-09 15:05:00,20,2022,STRANGULATION,N,
JD291694,25287,2020-07-09 15:37:00,15,1522,SHOT,Y,2020-08-29
JD292038,25288,2020-07-09 21:53:00,25,2534,SHOT,N,
JD292133,25291,2020-07-10 00:09:00,5,531,SHOT,Y,2021-12-22
JD292249,25289,2020-07-10 05:48:00,9,923,SHOT,Y,2020-10-28
JD292434,25293,2020-07-10 10:50:00,25,2534,SHOT,N,
JD292901,25292,2020-07-10 16:48:00,4,431,SHOT,N,
JD293053,25290,2020-07-10 18:51:00,9,912,SHOT,N,
JD293383,25294,2020-07-11 01:04:00,3,322,SHOT,N,
JD293392,25299,2020-07-11 01:07:00,19,1931,SHOT,Y,2020-10-31
JD293401,25295,2020-07-11 01:32:00,12,1215,SHOT,N,
JD293411,25296,2020-07-11 01:48:00,15,1522,SHOT,Y,2021-12-30
JD294263,25297,2020-07-11 20:15:00,7,734,SHOT,N,
JD294328,25298,2020-07-11 22:01:00,4,411,SHOT,Y,2020-11-29
JD294463,25300,2020-07-12 00:59:00,11,1112,SHOT,N,
JD294602,25301,2020-07-12 05:15:00,3,331,SHOT,N,
JD295318,25302,2020-07-12 21:47:00,7,723,SHOT,Y,2021-10-12
JD295381,25303,2020-07-12 23:26:00,7,735,SHOT,N,
JD295423,25304,2020-07-13 00:20:00,10,1021,SHOT,N,
JD295463,25305,2020-07-13 01:45:00,3,321,SHOT,N,
JD295766,25306,2020-07-13 10:44:00,2,225,STABBED,Y,2020-07-15
JD296544,25307,2020-07-13 22:40:00,6,621,SHOT,N,
JD297074,25309,2020-07-14 12:54:00,7,732,SHOT,N,
JD297681,25310,2020-07-14 22:05:00,10,1024,SHOT,N,
JD298408,25312,2020-07-15 15:23:00,7,734,SHOT,Y,2021-05-12
JD298408,25311,2020-07-15 15:23:00,7,734,SHOT,Y,2021-05-12
JD298927,25313,2020-07-16 01:02:00,7,733,SHOT,N,
JD299451,25316,2020-07-16 14:00:00,8,825,STRANGULATION,Y,2020-10-08
JD299547,25318,2020-07-16 16:02:00,10,1021,SHOT,Y,2020-07-18
JD299850,25317,2020-07-16 20:36:00,7,723,SHOT,N,
JD299102,25319,2020-07-16 21:06:00,5,513,SHOT,Y,2020-07-30
JD300678,25320,2020-07-17 15:29:00,6,612,SHOT,N,
JD301071,25322,2020-07-17 21:50:00,6,631,SHOT,N,
JD301145,25321,2020-07-17 23:38:00,6,631,SHOT,N,
JD301185,25323,2020-07-18 00:28:00,15,1532,SHOT,N,
JD301307,25325,2020-07-18 03:12:00,10,1012,SHOT,N,
JD301311,25324,2020-07-18 03:35:00,10,1034,SHOT,N,
JD301394,25326,2020-07-18 06:28:00,11,1121,SHOT,Y,2021-03-25
JD302372,25327,2020-07-19 02:35:00,18,1834,SHOT,Y,2021-01-09
JD302389,25328,2020-07-19 02:55:00,10,1024,SHOT,N,
JD302712,25330,2020-07-19 12:00:00,15,1522,BLUNT FORCE INJURY,Y,2020-07-24
JD303275,25329,2020-07-19 22:45:00,6,631,SHOT,N,
JD303327,25331,2020-07-19 23:20:00,22,2234,SHOT,N,
JD303327,25332,2020-07-19 23:20:00,22,2234,SHOT,N,
JD304212,25333,2020-07-20 17:50:00,12,1234,SHOT,N,
JD304271,25339,2020-07-20 18:42:00,12,1223,SHOT,N,
JD304324,25334,2020-07-20 19:36:00,10,1022,SHOT,N,
JD304453,25335,2020-07-20 22:25:00,11,1133,SHOT,N,
JD304542,25336,2020-07-21 00:25:00,5,533,SHOT,N,
JD304906,25340,2020-07-21 12:03:00,11,1122,SHOT,N,
JD304982,25337,2020-07-21 13:13:00,3,321,SHOT,N,
JD305635,25338,2020-07-21 23:03:00,5,524,SHOT,Y,2020-11-29
JD305672,25341,2020-07-22 00:11:00,5,532,SHOT,Y,2021-09-03
JD306169,25343,2020-07-22 14:06:00,16,1633,SHOT,N,
JD306704,25342,2020-07-22 23:51:00,3,321,SHOT,N,
JD307079,25344,2020-07-23 11:24:00,11,1132,SHOT,N,
JD307805,25346,2020-07-23 22:36:00,5,532,SHOT,N,
JD307805,25345,2020-07-23 22:36:00,5,532,SHOT,N,
JD307899,25348,2020-07-24 01:19:00,16,1624,SHOT,N,
JD307901,25347,2020-07-24 01:25:00,15,1531,SHOT,Y,2020-07-26
JD309011,25349,2020-07-25 01:52:00,4,421,SHOT,Y,2020-07-28
JD310610,25351,2020-07-26 13:29:00,11,1114,SHOT,Y,2020-08-21
JD310803,25350,2020-07-26 16:18:00,2,213,STABBED,Y,2020-07-27
JD311203,25352,2020-07-27 01:29:00,6,632,SHOT,N,
JD312037,25353,2020-07-27 18:13:00,6,633,SHOT,N,
JD312455,25354,2020-07-28 03:39:00,11,1131,SHOT,N,
JD312466,25355,2020-07-28 04:00:00,11,1131,SHOT,N,
JD314167,25356,2020-07-29 15:27:00,3,312,STABBED,Y,2020-09-04
JD314196,25364,2020-07-29 16:05:00,4,414,SHOT,N,
JD314196,25357,2020-07-29 16:05:00,4,414,SHOT,N,
JD314664,25378,2020-07-29 21:53:00,4,412,BLUNT FORCE INJURY,Y,2020-12-18
JD316246,25369,2020-07-31 13:01:00,24,2413,SHOT,Y,2020-08-31
JD316691,25359,2020-07-31 19:27:00,18,1823,SHOT,Y,2020-08-03
JD316965,25360,2020-08-01 00:30:00,2,231,SHOT,N,
JD316976,25361,2020-08-01 00:37:00,15,1532,SHOT,N,
JD317039,25362,2020-08-01 02:42:00,11,1113,SHOT,N,
JD317098,25363,2020-08-01 05:25:00,8,823,SHOT,Y,2021-02-12
JD317103,25365,2020-08-01 05:51:00,4,421,SHOT,Y,2021-04-14
JD318144,25367,2020-08-02 06:00:00,10,1013,SHOT,Y,2020-08-04
JD318144,25366,2020-08-02 06:00:00,10,1013,SHOT,Y,2020-08-04
JD318379,25368,2020-08-02 12:40:00,7,723,SHOT,N,
JD320760,25370,2020-08-04 16:26:00,18,1824,SHOT,Y,2021-12-15
JD321726,25371,2020-08-05 14:59:00,3,324,SHOT,Y,2020-08-07
JD322197,25372,2020-08-05 21:17:00,6,622,SHOT,Y,2021-03-10
JD323387,25373,2020-08-06 23:48:00,24,2411,SHOT,N,
JD323434,25374,2020-08-07 01:19:00,7,712,SHOT,Y,2021-10-29
JD323459,25375,2020-08-07 01:50:00,5,524,SHOT,N,
JD324667,25376,2020-08-08 02:21:00,25,2515,SHOT,Y,2020-08-21
JD324706,25377,2020-08-08 03:53:00,7,724,SHOT,N,
JD325772,25379,2020-08-09 03:01:00,8,832,SHOT,Y,2021-06-11
JD326228,25381,2020-08-09 14:56:00,6,631,SHOT,N,
JD326763,25380,2020-08-10 02:50:00,6,624,SHOT,N,
JD327802,25382,2020-08-10 22:30:00,18,1834,BLUNT FORCE INJURY,Y,2020-08-11
JD327976,25388,2020-08-11 06:34:00,6,632,SHOT,N,
JD328873,25383,2020-08-11 18:29:00,15,1524,SHOT,N,
JD331450,25420,2020-08-13 20:05:00,5,533,STABBED,Y,2020-09-03
JD331600,25385,2020-08-13 23:15:00,4,414,SHOT,N,
JD331615,25386,2020-08-13 23:37:00,22,2234,SHOT,Y,2020-08-27
JD331656,25387,2020-08-14 00:43:00,4,424,SHOT,N,
JD332674,25390,2020-08-14 20:15:00,5,524,SHOT,N,
JD332746,25397,2020-08-14 21:33:00,10,1012,SHOT,N,
JD332850,25389,2020-08-14 23:17:00,22,2234,SHOT,N,
JD333904,25391,2020-08-15 22:28:00,11,1133,SHOT,N,
JD334174,25392,2020-08-16 05:08:00,17,1732,SHOT,Y,2021-07-14
JD334802,25393,2020-08-16 13:50:00,9,922,SHOT,Y,2020-12-27
JD335093,25395,2020-08-17 00:48:00,10,1024,SHOT,N,
JD336194,25396,2020-08-17 23:40:00,25,2532,SHOT,N,
JD336779,25398,2020-08-18 14:27:00,22,2223,SHOT,Y,2021-05-21
JD339269,25399,2020-08-20 16:57:00,8,832,SHOT,Y,2020-08-21
JD339602,25400,2020-08-20 22:01:00,15,1523,SHOT,N,
JD340832,25402,2020-08-22 01:13:00,15,1524,SHOT,Y,2020-12-15
JD340917,25401,2020-08-22 02:04:00,4,424,SHOT,N,
JD340988,25403,2020-08-22 05:15:00,15,1512,SHOT,Y,2021-02-27
JD341021,25404,2020-08-22 08:37:00,10,1024,SHOT,N,
JD342028,25414,2020-08-23 04:34:00,12,1232,SHOT,N,
JD342092,25405,2020-08-23 05:52:00,10,1012,SHOT,Y,2020-08-27
JD344906,25407,2020-08-25 16:38:00,9,911,SHOT,Y,2020-09-06
JD344930,25406,2020-08-25 16:57:00,15,1512,SHOT,Y,2020-11-24
JD346389,25408,2020-08-26 20:48:00,7,732,STABBED,Y,2020-09-06
JD346411,25409,2020-08-26 21:30:00,8,835,SHOT,N,
JD346950,25410,2020-08-27 12:23:00,3,313,SHOT,N,
JD347500,25412,2020-08-27 20:17:00,6,614,SHOT,N,
JD347561,25413,2020-08-27 21:22:00,11,1114,SHOT,N,
JD347659,25411,2020-08-27 23:56:00,22,2233,SHOT,Y,2020-08-29
JD347761,25415,2020-08-28 05:00:00,4,422,SHOT,N,
JD348563,25417,2020-08-28 19:00:00,17,1722,SHOT,N,
JD348586,25416,2020-08-28 19:16:00,9,933,SHOT,N,
JD348693,25418,2020-08-28 20:38:00,6,632,SHOT,Y,2021-08-09
JD348734,25419,2020-08-28 21:07:00,11,1112,SHOT,Y,2020-09-16
JD349510,25421,2020-08-29 15:01:00,7,711,SHOT,N,
JD349813,25422,2020-08-29 20:16:00,7,713,SHOT,Y,2021-10-17
JD350096,25423,2020-08-30 02:09:00,4,423,SHOT,N,
JD350149,25424,2020-08-30 03:38:00,7,712,SHOT,N,
JD350187,25425,2020-08-30 04:57:00,22,2222,SHOT,N,
JD350546,25426,2020-08-30 12:07:00,22,2212,SHOT,N,
JD351607,25427,2020-08-31 13:05:00,10,1022,SHOT,N,
JD352238,25428,2020-08-31 22:52:00,11,1133,SHOT,N,
JD352390,25429,2020-09-01 02:49:00,7,724,SHOT,N,
JD354086,25431,2020-09-02 15:41:00,5,524,SHOT,N,
JD354205,25432,2020-09-02 17:04:00,14,1421,SHOT,Y,2020-10-19
JD354690,25441,2020-09-03 07:11:00,6,621,SHOT,N,
JD355518,25435,2020-09-03 20:33:00,11,1113,SHOT,Y,2021-06-23
JD355563,25436,2020-09-03 21:15:00,4,414,SHOT,N,
JD355587,25433,2020-09-03 21:34:00,9,911,SHOT,N,
JD355654,25437,2020-09-03 23:23:00,20,2024,SHOT,N,
JD355701,25438,2020-09-04 00:55:00,15,1524,BLUNT FORCE INJURY,Y,2020-09-05
JD356825,25439,2020-09-04 23:10:00,4,431,SHOT,Y,2020-09-05
JD358038,25440,2020-09-06 01:07:00,7,712,SHOT,Y,2021-03-11
JD358095,25443,2020-09-06 02:15:00,12,1223,SHOT,Y,2021-01-06
JD358144,25444,2020-09-06 03:25:00,12,1233,SHOT,N,
JD358313,25442,2020-09-06 09:00:00,4,421,STABBED,Y,2020-09-07
JD358322,25445,2020-09-06 09:26:00,14,1424,STABBED,Y,2020-09-08
JD358974,25446,2020-09-06 21:08:00,9,921,SHOT,Y,2020-09-24
JD359491,25450,2020-09-07 12:02:00,4,422,SHOT,N,
JD359834,25448,2020-09-07 17:55:00,9,935,SHOT,N,
JD359870,25449,2020-09-07 18:28:00,25,2535,SHOT,Y,2021-06-15
JD359869,25447,2020-09-07 18:35:00,4,412,SHOT,N,
JD360370,25452,2020-09-08 09:28:00,6,612,STRANGULATION,N,
JD360603,25451,2020-09-08 14:01:00,7,725,SHOT,N,
JD363157,25454,2020-09-10 20:09:00,25,2534,SHOT,N,
JD364157,25475,2020-09-11 18:37:00,20,2024,SHOT,N,
JD364412,25455,2020-09-12 00:11:00,7,714,SHOT,N,
JD364485,25457,2020-09-12 02:05:00,15,1523,SHOT,Y,2020-09-13
JD364485,25456,2020-09-12 02:05:00,15,1523,SHOT,Y,2020-09-13
JD364523,25458,2020-09-12 03:20:00,12,1214,SHOT,N,
JD364956,25459,2020-09-12 14:04:00,8,825,SHOT,N,
JD365391,25460,2020-09-12 23:05:00,15,1523,SHOT,N,
JD365408,25461,2020-09-12 23:06:00,4,432,SHOT,Y,2020-10-29
