case_number,id,date,injury_type,cleared,date_clear,beat,district,time_to_clear
G057558,671.0,2001-01-01 00:00:00,STABBED,Y,2001-02-26,612.0,6.0,56.0
G000705,634.0,2001-01-01 00:00:00,SHOT,N,,1125.0,11.0,
G005960,637.0,2001-01-03 00:00:00,SHOT,Y,2001-02-16,2535.0,25.0,44.0
G008548,636.0,2001-01-04 00:00:00,SHOT,Y,2001-01-19,1021.0,10.0,15.0
G008793,638.0,2001-01-05 00:00:00,SHOT,N,,611.0,6.0,
G011117,644.0,2001-01-06 00:00:00,SHOT,Y,2001-02-27,424.0,4.0,52.0
G011288,639.0,2001-01-06 00:00:00,SHOT,N,,1222.0,12.0,
G011894,640.0,2001-01-06 00:00:00,SHOT,Y,2001-03-14,524.0,5.0,67.0
G013038,641.0,2001-01-06 00:00:00,SHOT,Y,2001-01-31,2515.0,25.0,25.0
G013102,642.0,2001-01-07 00:00:00,SHOT,N,,624.0,6.0,
G019063,645.0,2001-01-09 00:00:00,SHOT,N,,712.0,7.0,
G019133,646.0,2001-01-09 00:00:00,SHOT,Y,2001-01-17,1712.0,17.0,8.0
G021128,647.0,2001-01-10 00:00:00,SHOT,Y,2005-01-31,333.0,3.0,1482.0
G021349,648.0,2001-01-10 00:00:00,STABBED,Y,2001-02-01,333.0,3.0,22.0
G022582,649.0,2001-01-11 00:00:00,SHOT,Y,2005-02-24,334.0,3.0,1505.0
G023235,650.0,2001-01-11 00:00:00,SHOT,Y,2002-11-01,511.0,5.0,659.0
G023235,651.0,2001-01-11 00:00:00,SHOT,Y,2002-11-01,511.0,5.0,659.0
G023298,652.0,2001-01-11 00:00:00,SHOT,Y,2001-01-16,1513.0,15.0,5.0
G023498,653.0,2001-01-11 00:00:00,SHOT,N,,633.0,6.0,
G026985,654.0,2001-01-13 00:00:00,STRANGULATION,Y,2001-01-16,1923.0,19.0,3.0
G028698,655.0,2001-01-14 00:00:00,SHOT,N,,1532.0,15.0,
G029375,656.0,2001-01-14 00:00:00,SHOT,Y,2001-02-26,2222.0,22.0,43.0
G030711,657.0,2001-01-15 00:00:00,SHOT,Y,2001-01-17,1013.0,10.0,2.0
G032399,658.0,2001-01-16 00:00:00,ASSAULT,Y,2001-01-18,932.0,9.0,2.0
G032407,659.0,2001-01-16 00:00:00,SHOT,Y,2001-05-28,1111.0,11.0,132.0
G032650,660.0,2001-01-16 00:00:00,ASSAULT,Y,2001-01-18,623.0,6.0,2.0
G038441,661.0,2001-01-18 00:00:00,SHOT,N,,1113.0,11.0,
G038670,662.0,2001-01-19 00:00:00,SHOT,Y,2004-06-21,1724.0,17.0,1249.0
G040822,663.0,2001-01-20 00:00:00,SHOT,Y,2001-01-24,1111.0,11.0,4.0
G042611,664.0,2001-01-20 00:00:00,SHOT,Y,2001-07-05,1121.0,11.0,166.0
G042741,665.0,2001-01-21 00:00:00,SHOT,Y,2001-02-01,1024.0,,11.0
G042730,666.0,2001-01-21 00:00:00,SHOT,Y,2001-02-26,414.0,4.0,36.0
G042867,674.0,2001-01-21 00:00:00,ASSAULT,N,,911.0,9.0,
G042885,667.0,2001-01-21 00:00:00,SHOT,Y,2001-01-22,2534.0,25.0,1.0
G046258,690.0,2001-01-22 00:00:00,SHOT,N,,533.0,5.0,
G046555,668.0,2001-01-22 00:00:00,SHOT,Y,2001-02-14,531.0,5.0,23.0
G054526,672.0,2001-01-26 00:00:00,SHOT,N,,712.0,7.0,
G057222,670.0,2001-01-28 00:00:00,SHOT,Y,2001-02-09,1114.0,11.0,12.0
G060538,673.0,2001-01-29 00:00:00,SHOT,N,,2523.0,25.0,
G063251,679.0,2001-01-31 00:00:00,ASSAULT,Y,2001-03-13,2412.0,24.0,41.0
G064025,675.0,2001-01-31 00:00:00,SHOT,N,,2523.0,25.0,
G065240,676.0,2001-02-01 00:00:00,SHOT,N,,2422.0,24.0,
G068951,677.0,2001-02-02 00:00:00,SHOT,Y,2001-03-12,621.0,6.0,38.0
G069278,678.0,2001-02-03 00:00:00,STRANGULATION,Y,2001-05-03,1333.0,13.0,89.0
G072969,686.0,2001-02-05 00:00:00,OTHER,Y,2001-02-15,511.0,5.0,10.0
G082465,683.0,2001-02-08 00:00:00,ASSAULT,Y,2001-02-13,223.0,2.0,5.0
G081524,680.0,2001-02-09 00:00:00,SHOT,Y,2001-02-13,1423.0,14.0,4.0
G083440,681.0,2001-02-09 00:00:00,SHOT,N,,814.0,8.0,
G083440,682.0,2001-02-09 00:00:00,SHOT,N,,814.0,8.0,
G085180,685.0,2001-02-10 00:00:00,SHOT,Y,2001-04-04,1531.0,15.0,53.0
G085456,684.0,2001-02-11 00:00:00,SHOT,N,,1031.0,10.0,
G091366,687.0,2001-02-14 00:00:00,SHOT,N,,1522.0,15.0,
G092939,688.0,2001-02-14 00:00:00,SHOT,Y,2001-03-29,1121.0,11.0,43.0
G093340,689.0,2001-02-15 00:00:00,SHOT,N,,1024.0,10.0,
G095425,691.0,2001-02-16 00:00:00,SHOT,N,,1112.0,11.0,
G099205,692.0,2001-02-18 00:00:00,SHOT,Y,2001-02-26,2533.0,25.0,8.0
G103123,693.0,2001-02-20 00:00:00,SHOT,Y,2001-04-16,1013.0,10.0,55.0
G107568,698.0,2001-02-22 00:00:00,OTHER,Y,2001-02-26,1012.0,10.0,4.0
G108432,694.0,2001-02-23 00:00:00,SHOT,Y,2001-03-01,726.0,7.0,6.0
G109242,695.0,2001-02-23 00:00:00,SHOT,Y,2012-10-17,1413.0,14.0,4254.0
G109618,699.0,2001-02-24 00:00:00,SHOT,N,,1412.0,14.0,
G109745,696.0,2001-02-24 00:00:00,SHOT,N,,931.0,9.0,
G110056,697.0,2001-02-24 00:00:00,SHOT,N,,933.0,9.0,
G112364,700.0,2001-02-25 00:00:00,SHOT,N,,1131.0,11.0,
G119031,702.0,2001-02-26 00:00:00,ASSAULT,Y,2013-06-12,1222.0,12.0,4489.0
G118039,701.0,2001-02-28 00:00:00,SHOT,N,,1131.0,11.0,
G118582,704.0,2001-02-28 00:00:00,ASSAULT,Y,2001-03-06,934.0,9.0,6.0
G119505,703.0,2001-03-01 00:00:00,STABBED,Y,2001-03-02,1924.0,19.0,1.0
G122916,705.0,2001-03-03 00:00:00,SHOT,Y,2001-03-30,532.0,5.0,27.0
G123109,706.0,2001-03-03 00:00:00,SHOT,N,,1414.0,14.0,
G124445,708.0,2001-03-03 00:00:00,SHOT,Y,2001-04-06,511.0,5.0,34.0
G125188,709.0,2001-03-04 00:00:00,ASSAULT,Y,2001-03-06,1624.0,16.0,2.0
G126488,711.0,2001-03-04 00:00:00,SHOT,N,,621.0,6.0,
G128509,710.0,2001-03-05 00:00:00,SHOT,Y,2001-03-12,212.0,2.0,7.0
G132945,712.0,2001-03-07 00:00:00,SHOT,Y,2001-03-12,1012.0,10.0,5.0
G137271,716.0,2001-03-09 00:00:00,STABBED,Y,2001-03-12,2524.0,25.0,3.0
G137295,713.0,2001-03-09 00:00:00,SHOT,N,,914.0,9.0,
G137655,714.0,2001-03-10 00:00:00,SHOT,Y,2001-04-16,2032.0,20.0,37.0
G137655,715.0,2001-03-10 00:00:00,SHOT,N,,2032.0,20.0,
G137999,717.0,2001-03-10 00:00:00,SHOT,Y,2001-07-23,1511.0,15.0,135.0
G139050,718.0,2001-03-10 00:00:00,SHOT,N,,914.0,9.0,
G140106,719.0,2001-03-10 00:00:00,OTHER,Y,2001-03-19,2531.0,25.0,9.0
G142325,720.0,2001-03-12 00:00:00,SHOT,Y,2001-03-16,1224.0,12.0,4.0
G143991,721.0,2001-03-13 00:00:00,SHOT,Y,2001-03-19,1022.0,10.0,6.0
G152113,722.0,2001-03-17 00:00:00,SHOT,Y,2001-03-19,231.0,2.0,2.0
G155779,723.0,2001-03-19 00:00:00,SHOT,Y,2001-03-28,1023.0,10.0,9.0
G159652,724.0,2001-03-20 00:00:00,SHOT,Y,2001-03-29,331.0,3.0,9.0
G160443,725.0,2001-03-21 00:00:00,SHOT,N,,1022.0,10.0,
G161229,726.0,2001-03-21 00:00:00,SHOT,Y,2001-04-20,1132.0,11.0,30.0
G164500,727.0,2001-03-21 00:00:00,ASSAULT,Y,2001-03-26,1422.0,14.0,5.0
G166828,736.0,2001-03-23 00:00:00,ASSAULT,Y,2001-03-29,412.0,4.0,6.0
G167023,728.0,2001-03-23 00:00:00,SHOT,N,,1031.0,10.0,
G167194,730.0,2001-03-24 00:00:00,SHOT,Y,2001-04-16,1913.0,19.0,23.0
G167188,729.0,2001-03-24 00:00:00,SHOT,Y,2003-03-10,1012.0,10.0,716.0
G168213,731.0,2001-03-24 00:00:00,SHOT,Y,2001-03-27,833.0,8.0,3.0
G169110,732.0,2001-03-25 00:00:00,SHOT,Y,2001-03-27,1513.0,15.0,2.0
G169225,733.0,2001-03-25 00:00:00,STABBED,Y,2001-03-26,1311.0,13.0,1.0
G172079,734.0,2001-03-26 00:00:00,SHOT,Y,2001-04-30,1412.0,14.0,35.0
G172821,735.0,2001-03-26 00:00:00,STABBED,Y,2001-03-30,323.0,3.0,4.0
G175399,737.0,2001-03-28 00:00:00,STRANGULATION,N,,1123.0,11.0,
G181260,739.0,2001-03-28 00:00:00,ASSAULT,Y,2001-05-03,1014.0,10.0,36.0
G179864,738.0,2001-03-30 00:00:00,SHOT,Y,2001-04-02,611.0,6.0,3.0
G183906,740.0,2001-04-01 00:00:00,SHOT,Y,2002-03-29,1115.0,11.0,362.0
G183906,793.0,2001-04-01 00:00:00,SHOT,Y,2002-03-29,1115.0,11.0,362.0
G184053,741.0,2001-04-01 00:00:00,SHOT,Y,2001-04-25,1433.0,14.0,24.0
G184097,798.0,2001-04-01 00:00:00,ASPHYXIATION,Y,2004-09-15,1021.0,10.0,1263.0
G184807,1177.0,2001-04-01 00:00:00,SHOT,Y,2001-11-05,1011.0,10.0,218.0
G187460,742.0,2001-04-02 00:00:00,SHOT,Y,2001-08-02,1231.0,12.0,122.0
G188311,745.0,2001-04-03 00:00:00,STABBED,Y,2001-04-27,812.0,8.0,24.0
G188820,743.0,2001-04-03 00:00:00,SHOT,Y,2003-06-16,731.0,7.0,804.0
G189908,748.0,2001-04-03 00:00:00,SHOT,N,,1031.0,10.0,
G190057,744.0,2001-04-04 00:00:00,SHOT,Y,2001-08-31,935.0,9.0,149.0
G191643,1477.0,2001-04-04 00:00:00,ASSAULT,Y,2002-06-06,1132.0,11.0,428.0
G194141,746.0,2001-04-05 00:00:00,SHOT,Y,2001-04-09,2512.0,25.0,4.0
G194349,747.0,2001-04-06 00:00:00,SHOT,N,,512.0,5.0,
G198167,749.0,2001-04-07 00:00:00,STABBED,Y,2001-04-25,1513.0,15.0,18.0
G200234,750.0,2001-04-08 00:00:00,SHOT,N,,1121.0,11.0,
G203846,752.0,2001-04-10 00:00:00,SHOT,Y,2001-04-19,2222.0,22.0,9.0
G205137,754.0,2001-04-11 00:00:00,STABBED,Y,2001-04-12,1115.0,11.0,1.0
G205243,753.0,2001-04-11 00:00:00,SHOT,N,,224.0,2.0,
G207107,755.0,2001-04-11 00:00:00,SHOT,Y,2001-04-16,2521.0,25.0,5.0
G207388,759.0,2001-04-12 00:00:00,SHOT,N,,1433.0,14.0,
G207403,756.0,2001-04-12 00:00:00,SHOT,Y,2001-04-27,424.0,4.0,15.0
G209405,757.0,2001-04-12 00:00:00,SHOT,N,,711.0,7.0,
G209907,758.0,2001-04-13 00:00:00,STABBED,N,,513.0,5.0,
G211567,760.0,2001-04-13 00:00:00,SHOT,Y,2001-04-19,432.0,4.0,6.0
G211628,761.0,2001-04-13 00:00:00,SHOT,Y,2001-04-16,421.0,4.0,3.0
G213437,762.0,2001-04-14 00:00:00,SHOT,Y,2001-04-18,1012.0,10.0,4.0
G213513,763.0,2001-04-14 00:00:00,SHOT,Y,2001-05-25,613.0,6.0,41.0
G213868,764.0,2001-04-15 00:00:00,STABBED,Y,2001-04-17,614.0,6.0,2.0
G214782,765.0,2001-04-15 00:00:00,SHOT,N,,2424.0,24.0,
G215462,766.0,2001-04-15 00:00:00,SHOT,N,,2112.0,21.0,
G216033,767.0,2001-04-16 00:00:00,STABBED,Y,2002-11-12,1524.0,15.0,575.0
G217678,768.0,2001-04-17 00:00:00,SHOT,Y,2005-07-14,312.0,3.0,1549.0
G218379,776.0,2001-04-17 00:00:00,STRANGULATION,N,,1814.0,18.0,
G219399,769.0,2001-04-17 00:00:00,SHOT,N,,822.0,8.0,
G219399,770.0,2001-04-17 00:00:00,SHOT,N,,822.0,8.0,
G221259,771.0,2001-04-18 00:00:00,SHOT,Y,2001-04-20,613.0,6.0,2.0
G221462,772.0,2001-04-18 00:00:00,SHOT,Y,2001-04-25,2524.0,25.0,7.0
G221780,773.0,2001-04-19 00:00:00,SHOT,Y,2001-04-24,2113.0,21.0,5.0
G222906,774.0,2001-04-19 00:00:00,SHOT,N,,1524.0,15.0,
G223743,775.0,2001-04-19 00:00:00,SHOT,Y,2004-04-04,1112.0,11.0,1081.0
G223784,777.0,2001-04-20 00:00:00,SHOT,Y,2001-05-07,1112.0,11.0,17.0
G223789,778.0,2001-04-20 00:00:00,SHOT,Y,2017-06-13,233.0,2.0,5898.0
G225749,779.0,2001-04-20 00:00:00,SHOT,Y,2001-04-24,1413.0,14.0,4.0
G225994,780.0,2001-04-20 00:00:00,SHOT,N,,922.0,9.0,
G226436,781.0,2001-04-21 00:00:00,SHOT,Y,2001-04-23,1031.0,10.0,2.0
G226841,782.0,2001-04-21 00:00:00,SHOT,Y,2001-05-03,231.0,2.0,12.0
G228272,783.0,2001-04-22 00:00:00,SHOT,N,,1422.0,14.0,
G228523,784.0,2001-04-22 00:00:00,SHOT,Y,2001-07-25,2522.0,25.0,94.0
G229353,785.0,2001-04-22 00:00:00,SHOT,N,,2534.0,25.0,
G230218,788.0,2001-04-22 00:00:00,SHOT,Y,2001-04-27,314.0,3.0,5.0
G230431,786.0,2001-04-23 00:00:00,SHOT,Y,2002-04-11,1125.0,11.0,353.0
G232871,789.0,2001-04-23 00:00:00,SHOT,N,,1135.0,11.0,
G232619,787.0,2001-04-23 00:00:00,SHOT,Y,2001-04-25,423.0,4.0,2.0
G234290,790.0,2001-04-24 00:00:00,SHOT,Y,2004-02-09,1532.0,15.0,1021.0
G234790,791.0,2001-04-25 00:00:00,SHOT,Y,2005-04-13,1224.0,12.0,1449.0
G235199,792.0,2001-04-25 00:00:00,SHOT,Y,2001-04-27,1412.0,14.0,2.0
G239201,805.0,2001-04-27 00:00:00,SHOT,N,,1223.0,12.0,
G240625,794.0,2001-04-27 00:00:00,SHOT,Y,2001-08-20,2222.0,22.0,115.0
G240776,795.0,2001-04-27 00:00:00,SHOT,Y,2001-06-06,1011.0,10.0,40.0
G243593,796.0,2001-04-29 00:00:00,SHOT,Y,2002-07-22,1125.0,11.0,449.0
G900755,802.0,2001-05-01 00:00:00,SHOT,Y,2001-05-03,1123.0,11.0,2.0
G248175,799.0,2001-05-01 00:00:00,STABBED,Y,2001-05-03,1135.0,11.0,2.0
G248938,800.0,2001-05-01 00:00:00,SHOT,Y,2002-06-24,723.0,7.0,419.0
G249811,801.0,2001-05-01 00:00:00,SHOT,N,,733.0,7.0,
G250391,804.0,2001-05-02 00:00:00,SHOT,N,,233.0,2.0,
G250439,803.0,2001-05-02 00:00:00,SHOT,Y,2001-05-07,421.0,4.0,5.0
G253688,806.0,2001-05-03 00:00:00,SHOT,Y,2005-05-13,915.0,9.0,1471.0
G256486,807.0,2001-05-04 00:00:00,SHOT,Y,2001-05-07,633.0,6.0,3.0
G259321,808.0,2001-05-06 00:00:00,SHOT,Y,2001-06-22,915.0,9.0,47.0
G260168,809.0,2001-05-06 00:00:00,SHOT,N,,221.0,2.0,
G260319,829.0,2001-05-06 00:00:00,ASSAULT,N,,623.0,6.0,
G261105,810.0,2001-05-06 00:00:00,BLUNT FORCE INJURY,Y,2001-05-08,1034.0,10.0,2.0
G261140,811.0,2001-05-06 00:00:00,SHOT,Y,2002-03-29,1533.0,15.0,327.0
G261213,813.0,2001-05-07 00:00:00,SHOT,Y,2001-05-25,912.0,9.0,18.0
G261257,812.0,2001-05-07 00:00:00,SHOT,N,,511.0,5.0,
G262626,1700.0,2001-05-07 00:00:00,SHOT,Y,2002-08-26,1113.0,11.0,476.0
G261414,814.0,2001-05-07 00:00:00,SHOT,N,,213.0,2.0,
G263950,837.0,2001-05-07 00:00:00,ASSAULT,Y,2001-05-29,1911.0,19.0,22.0
G262626,815.0,2001-05-07 00:00:00,SHOT,Y,2001-09-05,1113.0,11.0,121.0
G263360,816.0,2001-05-07 00:00:00,SHOT,Y,2003-11-25,1531.0,15.0,932.0
G264904,818.0,2001-05-08 00:00:00,ASSAULT,N,,213.0,2.0,
G265947,820.0,2001-05-08 00:00:00,SHOT,N,,1524.0,15.0,
G266841,817.0,2001-05-09 00:00:00,SHOT,Y,2001-07-02,733.0,7.0,54.0
G268444,821.0,2001-05-10 00:00:00,SHOT,Y,2001-06-25,233.0,2.0,46.0
G268521,822.0,2001-05-10 00:00:00,STRANGULATION,N,,922.0,9.0,
G269036,819.0,2001-05-10 00:00:00,SHOT,Y,2001-05-21,1133.0,11.0,11.0
G270994,823.0,2001-05-11 00:00:00,SHOT,N,,722.0,7.0,
G272819,824.0,2001-05-11 00:00:00,SHOT,N,,222.0,2.0,
G274681,825.0,2001-05-12 00:00:00,SHOT,Y,2005-10-03,634.0,6.0,1605.0
G274697,826.0,2001-05-12 00:00:00,SHOT,N,,822.0,8.0,
G276602,827.0,2001-05-14 00:00:00,SHOT,Y,2001-08-31,731.0,7.0,109.0
G277438,828.0,2001-05-14 00:00:00,SHOT,Y,2001-07-05,1522.0,15.0,52.0
G284583,830.0,2001-05-17 00:00:00,SHOT,N,,522.0,5.0,
G285552,833.0,2001-05-17 00:00:00,SHOT,N,,414.0,4.0,
G285637,831.0,2001-05-17 00:00:00,SHOT,Y,2001-08-06,1135.0,11.0,81.0
G285665,832.0,2001-05-17 00:00:00,SHOT,N,,1523.0,15.0,
G286951,834.0,2001-05-18 00:00:00,SHOT,Y,2001-05-24,314.0,3.0,6.0
G291271,841.0,2001-05-19 00:00:00,ASSAULT,N,,2534.0,25.0,
G292621,835.0,2001-05-21 00:00:00,ASSAULT,N,,2535.0,25.0,
G305406,836.0,2001-05-27 00:00:00,SHOT,N,,815.0,8.0,
G310530,839.0,2001-05-29 00:00:00,SHOT,N,,831.0,8.0,
G311269,838.0,2001-05-29 00:00:00,STABBED,Y,2001-06-01,712.0,7.0,3.0
G315699,840.0,2001-05-31 00:00:00,SHOT,Y,2010-12-22,912.0,9.0,3492.0
G318079,845.0,2001-06-01 00:00:00,SHOT,N,,1421.0,14.0,
G317825,892.0,2001-06-01 00:00:00,SHOT,Y,2002-12-19,1111.0,,566.0
G317944,847.0,2001-06-02 00:00:00,SHOT,Y,2001-06-08,1323.0,13.0,6.0
G318182,843.0,2001-06-02 00:00:00,SHOT,N,,722.0,7.0,
G318274,844.0,2001-06-02 00:00:00,STABBED,Y,2001-08-30,914.0,9.0,89.0
G319264,846.0,2001-06-02 00:00:00,ASSAULT,Y,2001-06-08,631.0,6.0,6.0
G320322,848.0,2001-06-03 00:00:00,SHOT,N,,211.0,2.0,
G321067,849.0,2001-06-03 00:00:00,SHOT,Y,2001-06-13,2534.0,25.0,10.0
G322035,865.0,2001-06-04 00:00:00,SHOT,Y,2001-06-14,621.0,6.0,10.0
G322669,850.0,2001-06-04 00:00:00,SHOT,Y,2001-06-18,822.0,8.0,14.0
G323016,852.0,2001-06-04 00:00:00,SHOT,Y,2002-12-19,1124.0,11.0,563.0
G324594,851.0,2001-06-05 00:00:00,STABBED,N,,2312.0,23.0,
G326190,853.0,2001-06-05 00:00:00,SHOT,N,,1131.0,11.0,
G326467,854.0,2001-06-06 00:00:00,SHOT,Y,2001-06-11,214.0,2.0,5.0
G327597,855.0,2001-06-06 00:00:00,SHOT,N,,1531.0,15.0,
G328769,856.0,2001-06-07 00:00:00,STABBED,N,,1622.0,16.0,
G330755,857.0,2001-06-07 00:00:00,SHOT,Y,2001-06-18,734.0,7.0,11.0
G330832,858.0,2001-06-08 00:00:00,SHOT,N,,712.0,7.0,
G334208,859.0,2001-06-09 00:00:00,SHOT,N,,822.0,8.0,
G334779,860.0,2001-06-09 00:00:00,SHOT,N,,831.0,8.0,
G339015,862.0,2001-06-11 00:00:00,STRANGULATION,Y,2001-06-21,622.0,6.0,10.0
G339029,861.0,2001-06-11 00:00:00,SHOT,Y,2001-12-03,1112.0,11.0,175.0
G339802,863.0,2001-06-12 00:00:00,SHOT,N,,533.0,5.0,
G339992,864.0,2001-06-12 00:00:00,SHOT,Y,2001-07-09,1012.0,10.0,27.0
G344112,869.0,2001-06-13 00:00:00,SHOT,N,,2535.0,25.0,
G344397,866.0,2001-06-14 00:00:00,SHOT,Y,2001-07-13,1512.0,15.0,29.0
G344605,868.0,2001-06-14 00:00:00,STABBED,Y,2001-06-18,2022.0,20.0,4.0
G346418,867.0,2001-06-14 00:00:00,ASSAULT,Y,2001-06-18,331.0,3.0,4.0
G349020,870.0,2001-06-16 00:00:00,SHOT,Y,2001-06-28,1324.0,13.0,12.0
G351558,1274.0,2001-06-17 00:00:00,SHOT,Y,2001-12-21,1422.0,14.0,187.0
G352627,871.0,2001-06-17 00:00:00,SHOT,Y,2001-10-19,1121.0,11.0,124.0
G352803,872.0,2001-06-17 00:00:00,SHOT,Y,2001-06-22,432.0,4.0,5.0
G352974,873.0,2001-06-17 00:00:00,SHOT,N,,614.0,6.0,
G353144,874.0,2001-06-17 00:00:00,SHOT,Y,2001-07-31,1224.0,12.0,44.0
G353149,875.0,2001-06-18 00:00:00,SHOT,Y,2001-06-19,1414.0,14.0,1.0
G355946,876.0,2001-06-19 00:00:00,SHOT,N,,723.0,7.0,
G356644,877.0,2001-06-19 00:00:00,SHOT,Y,2001-06-25,1115.0,11.0,6.0
G356804,878.0,2001-06-19 00:00:00,SHOT,Y,2001-11-09,134.0,1.0,143.0
G358387,879.0,2001-06-20 00:00:00,SHOT,Y,2013-05-21,734.0,7.0,4353.0
G360524,880.0,2001-06-21 00:00:00,SHOT,N,,314.0,3.0,
G361737,882.0,2001-06-21 00:00:00,STRANGULATION,Y,2001-06-27,633.0,6.0,6.0
G361818,881.0,2001-06-21 00:00:00,SHOT,N,,2534.0,25.0,
G362854,883.0,2001-06-22 00:00:00,SHOT,Y,2008-07-22,1112.0,11.0,2587.0
G362854,884.0,2001-06-22 00:00:00,SHOT,Y,2008-07-22,1112.0,11.0,2587.0
G363031,885.0,2001-06-22 00:00:00,STRANGULATION,Y,2006-07-31,223.0,2.0,1865.0
G364890,886.0,2001-06-23 00:00:00,SHOT,N,,423.0,4.0,
G364948,887.0,2001-06-23 00:00:00,SHOT,Y,2001-06-29,414.0,4.0,6.0
G364948,888.0,2001-06-23 00:00:00,SHOT,Y,2001-06-29,414.0,4.0,6.0
G365057,889.0,2001-06-23 00:00:00,SHOT,Y,2002-01-07,513.0,5.0,198.0
G365163,890.0,2001-06-23 00:00:00,STRANGULATION,Y,2002-01-14,522.0,5.0,205.0
G365482,891.0,2001-06-23 00:00:00,STABBED,Y,2001-07-26,511.0,5.0,33.0
G366917,893.0,2001-06-24 00:00:00,SHOT,Y,2002-03-29,1323.0,13.0,278.0
G367752,894.0,2001-06-24 00:00:00,SHOT,Y,2001-06-26,2524.0,25.0,2.0
G369513,895.0,2001-06-25 00:00:00,STRANGULATION,Y,2001-06-25,2023.0,20.0,0.0
G370946,970.0,2001-06-25 00:00:00,STABBED,Y,2001-07-26,1233.0,12.0,31.0
G371378,896.0,2001-06-26 00:00:00,SHOT,N,,523.0,5.0,
G371278,897.0,2001-06-26 00:00:00,SHOT,N,,1523.0,15.0,
G373323,898.0,2001-06-26 00:00:00,SHOT,N,,1524.0,15.0,
G373354,899.0,2001-06-26 00:00:00,SHOT,Y,2001-06-29,412.0,4.0,3.0
G373628,900.0,2001-06-27 00:00:00,SHOT,N,,1031.0,10.0,
G375375,901.0,2001-06-27 00:00:00,STABBED,Y,2001-08-14,1631.0,16.0,48.0
G375841,902.0,2001-06-28 00:00:00,SHOT,Y,2001-08-06,1125.0,,39.0
G377597,904.0,2001-06-28 00:00:00,SHOT,Y,2001-07-23,2234.0,22.0,25.0
G378147,903.0,2001-06-29 00:00:00,SHOT,Y,2002-04-11,2221.0,22.0,286.0
G380193,905.0,2001-06-29 00:00:00,STABBED,Y,2001-07-05,1123.0,11.0,6.0
G380402,906.0,2001-06-30 00:00:00,ASSAULT,Y,2001-07-05,1034.0,10.0,5.0
G380439,909.0,2001-06-30 00:00:00,SHOT,Y,2001-07-02,1222.0,12.0,2.0
G380429,907.0,2001-06-30 00:00:00,ASSAULT,Y,2001-10-09,1022.0,10.0,101.0
G380472,908.0,2001-06-30 00:00:00,SHOT,N,,513.0,5.0,
G380688,929.0,2001-06-30 00:00:00,SHOT,N,,624.0,6.0,
G382110,912.0,2001-06-30 00:00:00,SHOT,Y,2001-07-20,421.0,4.0,20.0
G383627,910.0,2001-07-01 00:00:00,SHOT,Y,2001-07-09,2223.0,22.0,8.0
G384625,911.0,2001-07-02 00:00:00,SHOT,N,,411.0,4.0,
G386706,913.0,2001-07-02 00:00:00,SHOT,N,,713.0,7.0,
G386706,934.0,2001-07-02 00:00:00,SHOT,N,,713.0,7.0,
G389122,914.0,2001-07-04 00:00:00,SHOT,Y,2001-07-06,712.0,7.0,2.0
G390543,915.0,2001-07-04 00:00:00,STABBED,Y,2001-07-09,1712.0,17.0,5.0
G390651,1218.0,2001-07-04 00:00:00,SHOT,Y,2002-01-18,914.0,9.0,198.0
G391211,916.0,2001-07-05 00:00:00,SHOT,N,,1713.0,17.0,
G391120,917.0,2001-07-05 00:00:00,SHOT,N,,1411.0,14.0,
G392579,944.0,2001-07-05 00:00:00,ASSAULT,Y,2001-11-16,1121.0,11.0,134.0
G393942,918.0,2001-07-06 00:00:00,SHOT,Y,2001-07-23,1011.0,10.0,17.0
G395545,919.0,2001-07-07 00:00:00,SHOT,N,,333.0,3.0,
G397434,1000.0,2001-07-07 00:00:00,SHOT,Y,2001-08-13,835.0,8.0,37.0
G397581,920.0,2001-07-08 00:00:00,SHOT,N,,823.0,8.0,
G397986,962.0,2001-07-08 00:00:00,ASPHYXIATION,Y,2001-07-25,715.0,7.0,17.0
G398042,921.0,2001-07-08 00:00:00,SHOT,N,,723.0,7.0,
G399481,922.0,2001-07-09 00:00:00,SHOT,Y,2001-07-12,735.0,7.0,3.0
G400491,927.0,2001-07-09 00:00:00,SHOT,N,,711.0,7.0,
G401538,923.0,2001-07-09 00:00:00,SHOT,Y,2001-11-05,324.0,3.0,119.0
G401141,924.0,2001-07-09 00:00:00,SHOT,N,,233.0,2.0,
G401835,925.0,2001-07-10 00:00:00,SHOT,Y,2001-07-13,1424.0,14.0,3.0
G401835,926.0,2001-07-10 00:00:00,SHOT,Y,2001-07-13,1424.0,14.0,3.0
G401839,928.0,2001-07-10 00:00:00,SHOT,Y,2003-03-24,624.0,6.0,622.0
G406405,931.0,2001-07-10 00:00:00,STABBED,Y,2001-07-13,711.0,7.0,3.0
G402063,932.0,2001-07-10 00:00:00,STRANGULATION,Y,2001-08-27,1821.0,18.0,48.0
G404236,930.0,2001-07-11 00:00:00,SHOT,Y,2002-04-30,2311.0,23.0,293.0
G406227,935.0,2001-07-11 00:00:00,ASSAULT,Y,2001-07-16,2234.0,22.0,5.0
G408978,933.0,2001-07-13 00:00:00,SHOT,N,,411.0,4.0,
G410898,936.0,2001-07-13 00:00:00,SHOT,Y,2001-07-18,711.0,7.0,5.0
G411262,937.0,2001-07-14 00:00:00,SHOT,N,,1031.0,10.0,
G413138,938.0,2001-07-14 00:00:00,SHOT,N,,1132.0,11.0,
